Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,2-Jan-17,25-Jan-17,PE,6400,0,0,0,0.3,0.3,0,0,0,0,150,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6450,0,0,0,1.45,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6500,0.5,0.65,0.5,0.6,0.55,0.6,123,599.68,0.05,127950,375,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6550,0,0,0,0.85,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6600,0,0,0,2.6,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6650,0,0,0,3.3,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6700,0,0,0,1.25,1.25,0,0,0,0,600,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6750,0,0,0,5.1,0,0,0,0,0,0,0,8179.5
NIFTY,2-Jan-17,25-Jan-17,PE,6800,1,1,0.7,0.7,0.7,0.7,3,15.3,0,3900,225,8179.5
NIFTY,3-Jan-17,25-Jan-17,PE,6850,0,0,0,1.9,0,0,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,6900,1,1.45,0.6,1.45,1.45,1.45,28,144.92,0.02,3150,-750,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,6950,0,0,0,0.1,0,0,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7000,1.65,1.85,1.5,1.6,1.6,1.6,3674,19293.02,4.52,1281000,-55650,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7050,0.35,2.5,0.35,1.6,1.6,1.6,43,227.42,0.06,74325,-750,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7100,2.1,2.3,1.7,1.85,1.85,1.85,2217,11808.61,3.08,310950,-9000,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7150,0,0,0,0.4,0,0.05,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7200,3.95,3.95,1.9,2.45,2.45,2.45,4746,25637.29,8.89,589950,-50100,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7250,0,0,0,0.7,0,0.05,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7300,3.95,4.5,2.85,3.25,3.35,3.25,5644,30915.7,14.8,834150,25500,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7350,0,0,0,1.3,0,0.2,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7400,4,6.2,4,4.8,4.8,4.8,9892,54937.37,36.77,919725,21975,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9600,1381.7,1381.7,1380.2,1380.2,1380.2,1380.2,3,24.71,3.11,6825,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9650,0,0,0,902.65,0,1420.5,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9700,0,0,0,948.1,0,1470.3,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9750,0,0,0,994,0,1520.1,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9800,0,0,0,1655.65,1655.65,1569.9,0,0,0,75,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9850,0,0,0,1087.05,0,1619.75,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9900,0,0,0,1134.1,0,1669.55,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9950,0,0,0,1181.45,0,1719.35,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,10000,1809.3,1825.2,1761,1786.8,1791.4,1786.8,201,1777.21,269.71,794325,1800,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,10050,0,0,0,1276.9,0,1818.95,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,10100,1882.3,1882.3,1882.3,1882.3,1882.3,1882.3,2,17.97,2.82,3300,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,10150,0,0,0,1353.4,0,1918.55,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8500,312.4,346,285,315,320,315,3020,19960.34,707.84,909150,-60450,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8550,0,0,0,153.35,0,351.6,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8600,423,440,377.2,402,407.95,402,1239,8372,380.45,616950,-15900,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8650,0,0,0,193.95,0,439.1,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8700,514.4,530.9,474.4,499.4,501.15,499.4,555,3826.79,205.41,739275,-21825,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8750,0,0,0,240.8,0,531.6,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8800,611.95,630.95,570,594.05,602.7,594.05,957,6738.99,422.79,1088625,-49200,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8850,0,0,0,691,691,627.3,0,0,0,75,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8900,706.6,728.6,674,695.95,705,695.95,947,6810.35,489.12,748275,-49125,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,8950,0,0,0,353.2,0,724.9,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9000,810,829.95,767.4,791.8,795,791.8,1235,9061.03,724.78,2172525,-36150,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9050,0,0,0,418.25,0,823.55,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9100,917.95,917.95,872,881.35,881.35,881.35,7,52.45,4.68,175875,-150,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9150,0,0,0,488.65,0,922.75,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9200,1014,1024,966.4,988,988,988,26,198.76,19.36,77025,225,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9250,0,0,0,564.05,0,1022.15,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9300,0,0,0,1107.6,1107.6,1071.9,0,0,0,30825,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9350,0,0,0,643.65,0,1121.7,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9400,1182.9,1182.9,1182.9,1182.9,1182.9,1182.9,2,15.87,1.77,33000,-150,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9450,0,0,0,727,0,1221.3,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9500,1297.3,1323.65,1268.05,1292.25,1295,1292.25,228,1845.34,220.84,306000,3450,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,9550,0,0,0,813.5,0,1320.9,0,0,0,0,0,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7450,6.5,6.5,3.55,5.35,5.6,5.35,17,95.06,0.07,450,-150,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7500,7.1,9.5,6.25,7.55,7.5,7.55,21960,123647.79,122.79,2571525,77700,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7550,10.35,10.55,7,8.5,8.5,8.5,87,493.19,0.55,15750,4800,8192.25
NIFTY,3-Jan-17,25-Jan-17,PE,7600,11.7,13.75,9.05,11.05,11.15,11.05,26837,153189.26,218.36,2028825,-101925,8192.25
